Competition,Country,Home Team,Home Score,Away Team,Away Score,Date,URL,Votes,Stats
Championship,Scotland,Inverness,1,Ayr Utd,2,2023-05-05,https://www.goal.com/en/match/inverness-ct-vs-ayr-united/b9d2u4zte8nctdxrfmbdo8npw,"[['Inverness', 'Draw', 'Ayr Utd'], ['147', '134', '50']]","{'Ball possession': ['59%', '41%'], 'Total shots': ['8', '10'], 'Corners': ['8', '3'], 'Fouls': ['4', '5']}"
Championship,Scotland,Queen's Park,3,Dundee,5,2023-05-05,https://www.goal.com/en/match/queen-s-park-vs-dundee/b9h0ovvrh7ud7xsgp1lxyasr8,"[[""Queen's Park"", 'Draw', 'Dundee'], ['94', '116', '130']]","{'Ball possession': ['54%', '46%'], 'Total shots': ['7', '17'], 'Corners': ['8', '4'], 'Fouls': ['12', '18']}"
Championship,Scotland,Raith Rovers,2,Partick,2,2023-05-05,https://www.goal.com/en/match/raith-rovers-vs-partick-thistle/b9kzlghqyjj1mdicebxcolbmc,"[['Raith Rovers', 'Draw', 'Partick'], ['41', '104', '125']]","{'Ball possession': ['37%', '63%'], 'Total shots': ['3', '13'], 'Corners': ['2', '12'], 'Fouls': ['9', '7']}"
CAF U17 Cup of Nations,Africa,Congo,1,Algeria,1,2023-05-05,https://www.goal.com/en/match/congo-u17-vs-algeria-u17/4vccb3m5snm4ovxu4802n1fys,[],{}
CAF U17 Cup of Nations,Africa,Somalia,0,Senegal,3,2023-05-05,https://www.goal.com/en/match/somalia-u17-vs-senegal-u17/4vkseia1mihrmazzex3j9reac,[],{}
Ligue 1,Algeria,Belouizdad,1,ES Sétif,0,2023-05-05,https://www.goal.com/en/match/belouizdad-vs-es-setif/2kj2uklhlelkl0lo00pvobllg,"[['Belouizdad', 'Draw', 'ES Sétif'], ['56', '111', '62']]","{'Corners': ['4', '0'], 'Fouls': ['30', '19']}"
Ligue 1,Algeria,Kabylie,1,USM Alger,0,2023-05-05,https://www.goal.com/en/match/kabylie-vs-usm-alger/ayb9kop2w1jkhen93y0sb3eac,"[['Kabylie', 'Draw', 'USM Alger'], ['39', '88', '54']]","{'Corners': ['6', '2'], 'Fouls': ['18', '14']}"
Primera Nacional,Argentina,Almagro,3,Flandria,1,2023-05-05,https://www.goal.com/en/match/almagro-vs-flandria/b8pkigdgukrzrsdou51zepm38,[],{}
Queensland NPL,Australia,Rochedale,2,Olympic,1,2023-05-05,https://www.goal.com/en/match/rochedale-rovers-vs-olympic/9w0vx8p73usba6cw44housr2s,"[['Rochedale', 'Draw', 'Olympic'], ['32', '62', '26']]","{'Corners': ['11', '3'], 'Fouls': ['11', '10']}"
Victoria NPL,Australia,Heidelberg,1,Green Gully,0,2023-05-05,https://www.goal.com/en/match/heidelberg-united-vs-green-gully/tpld2l9w3lj6zpg41slor09g,"[['Heidelberg', 'Draw', 'Green Gully'], ['35', '55', '38']]","{'Corners': ['4', '9'], 'Fouls': ['13', '13']}"
Victoria NPL,Australia,Oakleigh,5,North Geelong,0,2023-05-05,https://www.goal.com/en/match/oakleigh-cannons-vs-north-geelong-warriors/tmln3v8a09rkh9b3gpt36o0k,"[['Oakleigh', 'Draw', 'North Geelong'], ['44', '47', '20']]","{'Corners': ['8', '1'], 'Fouls': ['16', '6']}"
Victoria NPL Women,Australia,Emerging,1,Calder Utd,1,2023-05-05,https://www.goal.com/en/match/fv-emerging-vs-calder-united/cj1lpfprtgi5j6r50lf47q5n8,[],{}
New South Wales NPL,Australia,Wolves,0,Blacktown City,0,2023-05-05,https://www.goal.com/en/match/wollongong-wolves-vs-blacktown-city/9wb6oh8ulert98fmtntxpmyok,"[['Wolves', 'Draw', 'Blacktown City'], ['23', '36', '22']]","{'Corners': ['7', '5'], 'Fouls': ['13', '9']}"
2. Liga,Austria,Amstetten,0,First Vienna,4,2023-05-05,https://www.goal.com/en/match/amstetten-vs-first-vienna/bbdsahg9972tgi275ubu2iexg,"[['Amstetten', 'Draw', 'First Vienna'], ['60', '87', '33']]","{'Ball possession': ['0%', '100%'], 'Total shots': ['0', '4']}"
2. Liga,Austria,Austria II,1,Lafnitz,0,2023-05-05,https://www.goal.com/en/match/austria-wien-ii-vs-lafnitz/bb9pzjej02s7gltwufbwrm9sk,"[['Austria II', 'Draw', 'Lafnitz'], ['31', '74', '39']]","{'Ball possession': ['100%', '0%'], 'Total shots': ['1', '0'], 'Corners': ['5', '4'], 'Fouls': ['17', '14']}"
2. Liga,Austria,BW Linz,1,FAC,1,2023-05-05,https://www.goal.com/en/match/blau-weiss-linz-vs-floridsdorfer-ac/bbjkfywi7nvyl0r3z0xw5icr8,"[['BW Linz', 'Draw', 'FAC'], ['74', '89', '45']]","{'Ball possession': ['50%', '50%'], 'Total shots': ['1', '1']}"
2. Liga,Austria,Horn,3,Rapid II,0,2023-05-05,https://www.goal.com/en/match/horn-vs-rapid-wien-ii/bbneiwn7htf5gpcn624op9q8k,"[['Horn', 'Draw', 'Rapid II'], ['34', '74', '33']]","{'Ball possession': ['100%', '0%'], 'Total shots': ['3', '0']}"
2. Liga,Austria,Liefering,0,GAK,2,2023-05-05,https://www.goal.com/en/match/liefering-vs-grazer-ak/bb5o8dsnedzc1bhnqjgw0x1jo,"[['Liefering', 'Draw', 'GAK'], ['36', '89', '49']]","{'Ball possession': ['52.8%', '47.2%'], 'Total shots': ['15', '13'], 'Corners': ['7', '3'], 'Fouls': ['11', '12']}"
Premier League,Bangladesh,Abahani Dhaka,4,Bangladesh Pol,1,2023-05-05,https://www.goal.com/en/match/abahani-dhaka-vs-bangladesh-police/d96jo5927ko95766kp46bg650,[],{}
Premier League,Bangladesh,Kings,4,Muktijoddha,0,2023-05-05,https://www.goal.com/en/match/bashundhara-kings-vs-muktijoddha-skc/d8v3ehixe9d0sp26ug8ll7vv8,[],{}
Premier League,Bangladesh,Jamal,2,Abahani Chitta,2,2023-05-05,https://www.goal.com/en/match/sheikh-jamal-vs-abahani-chittagong/d9hzzl79k7hu85wb3bkf43pxw,[],{}
Premier League,Belarus,Isloch,0,Slavia,1,2023-05-05,https://www.goal.com/en/match/isloch-vs-slavia/q51vlmbh3hbub70zbpzusc2c,"[['Isloch', 'Draw', 'Slavia'], ['35', '66', '34']]","{'Corners': ['8', '11'], 'Fouls': ['15', '14']}"
Premier League,Belarus,Torpedo BelAZ,1,Slutsk,1,2023-05-05,https://www.goal.com/en/match/torpedo-belaz-vs-slutsk/pv941mxzy0tur5yng1d3bxn8,"[['Torpedo BelAZ', 'Draw', 'Slutsk'], ['46', '72', '28']]","{'Corners': ['4', '4'], 'Fouls': ['10', '10']}"
Challenger Pro League,Belgium,Anderlecht II,0,Beerschot,2,2023-05-05,https://www.goal.com/en/match/rsc-anderlecht-ii-vs-beerschot/b4anty8pherkjb3egma1dp1qs,"[['Anderlecht II', 'Draw', 'Beerschot'], ['13', '26', '21']]","{'Ball possession': ['51.8%', '48.2%'], 'Total shots': ['16', '18'], 'Corners': ['6', '5'], 'Fouls': ['10', '19']}"
Challenger Pro League,Belgium,Standard,1,Virton,1,2023-05-05,https://www.goal.com/en/match/standard-liege-ii-vs-excelsior-virton/8273mbcyypccvel01tugw1ses,"[['Standard', 'Draw', 'Virton'], ['13', '25', '13']]","{'Ball possession': ['46.1%', '53.9%'], 'Total shots': ['6', '12'], 'Corners': ['7', '0'], 'Fouls': ['12', '16']}"
Serie C,Brazil,CSA,0,Confiança,1,2023-05-05,https://www.goal.com/en/match/csa-vs-confianca/khqahevnbjxiqeu6ayqg915g,"[['CSA', 'Draw', 'Confiança'], ['32', '32', '20']]","{'Corners': ['15', '3'], 'Fouls': ['9', '14']}"
Serie C,Brazil,Botafogo,2,Operário,1,2023-05-05,https://www.goal.com/en/match/botafogo-pb-vs-operario-pr/kubgycyqszi8fkvrlju7ko44,"[['Botafogo', 'Draw', 'Operário'], ['40', '72', '34']]","{'Corners': ['9', '7'], 'Fouls': ['18', '9']}"
Serie C,Brazil,Altos,0,Figueirense,0,2023-05-05,https://www.goal.com/en/match/altos-vs-figueirense/l6wi4jyyzbeedrkga00a46xg,[],{}
Serie C,Brazil,São Bernardo,3,Remo,1,2023-05-05,https://www.goal.com/en/match/sao-bernardo-vs-remo/jg8ftnifibdro7mxppxczi1g,"[['São Bernardo', 'Draw', 'Remo'], ['20', '50', '42']]","{'Corners': ['6', '11'], 'Fouls': ['15', '11']}"
CSL,China PR,Henan,0,Guoan,1,2023-05-05,https://www.goal.com/en/match/henan-vs-beijing-guoan/dr4rcpljmycv3rvxempkhtses,"[['Henan', 'Draw', 'Guoan'], ['97', '145', '98']]","{'Ball possession': ['41.8%', '58.2%'], 'Total shots': ['7', '6'], 'Corners': ['2', '4'], 'Fouls': ['9', '24']}"
CSL,China PR,Shenhua,1,Dalian,0,2023-05-05,https://www.goal.com/en/match/shanghai-shenhua-vs-dalian-pro/drfy6cr0qfgpp50qikxeps4d0,"[['Shenhua', 'Draw', 'Dalian'], ['165', '143', '58']]","{'Ball possession': ['52.8%', '47.2%'], 'Total shots': ['19', '12'], 'Corners': ['7', '6'], 'Fouls': ['8', '12']}"
CSL,China PR,Shenzhen,0,Cangzhou,1,2023-05-05,https://www.goal.com/en/match/shenzhen-vs-cangzhou-mighty-lions/drr9jh219l5503aebct8eqqdw,"[['Shenzhen', 'Draw', 'Cangzhou'], ['109', '125', '46']]","{'Ball possession': ['55.8%', '44.2%'], 'Total shots': ['5', '6'], 'Corners': ['5', '3'], 'Fouls': ['17', '16']}"
CSL,China PR,Three Towns,0,Zhejiang,0,2023-05-05,https://www.goal.com/en/match/wuhan-three-towns-vs-zhejiang/ds2hhxolqt9lvj43pww64hfro,"[['Three Towns', 'Draw', 'Zhejiang'], ['182', '129', '49']]","{'Ball possession': ['52.7%', '47.3%'], 'Total shots': ['18', '7'], 'Corners': ['8', '5'], 'Fouls': ['11', '18']}"
HNL,Croatia,Šibenik,0,Varaždin,2,2023-05-05,https://www.goal.com/en/match/sibenik-vs-varazdin/bspkcsso9us9ewnl7etv850k4,"[['Šibenik', 'Draw', 'Varaždin'], ['60', '90', '33']]","{'Ball possession': ['49.3%', '50.7%'], 'Total shots': ['25', '14'], 'Corners': ['12', '4'], 'Fouls': ['10', '13']}"
FNL,Czech Republic,Vyškov,2,Příbram,2,2023-05-05,https://www.goal.com/en/match/vyskov-vs-pribram/44bi8jcsfdutwrd14apfdusr8,[],{}
FNL,Czech Republic,Vysočina,2,Třinec,1,2023-05-05,https://www.goal.com/en/match/vysocina-jihlava-vs-trinec/43yvck9vrkuv7u19jrateb9ck,"[['Vysočina', 'Draw', 'Třinec'], ['14', '39', '31']]","{'Corners': ['5', '3'], 'Fouls': ['13', '13']}"
1. Division,Denmark,Hvidovre,0,Vejle,1,2023-05-05,https://www.goal.com/en/match/hvidovre-vs-vejle/a4ul1pcwbb5nxf5twcij93yfo,"[['Hvidovre', 'Draw', 'Vejle'], ['54', '115', '58']]","{'Ball possession': ['67.9%', '32.1%'], 'Total shots': ['11', '10'], 'Corners': ['6', '3'], 'Fouls': ['10', '15']}"
1. Division,Denmark,Fredericia,2,Hobro,2,2023-05-05,https://www.goal.com/en/match/fredericia-vs-hobro/48vza2ps09szu8zb6rpicr85w,"[['Fredericia', 'Draw', 'Hobro'], ['96', '96', '33']]","{'Ball possession': ['53.4%', '46.6%'], 'Total shots': ['7', '15'], 'Corners': ['6', '1'], 'Fouls': ['7', '7']}"
1. Division,Denmark,Fremad Amager,1,Hillerød,0,2023-05-05,https://www.goal.com/en/match/fremad-amager-vs-hillerod/498rqahb81xbmklqvi5w9rtas,"[['Fremad Amager', 'Draw', 'Hillerød'], ['31', '73', '46']]","{'Ball possession': ['40.7%', '59.3%'], 'Total shots': ['15', '10'], 'Corners': ['2', '5'], 'Fouls': ['10', '7']}"
Super Cup,Egypt,Pyramids,0,Ahly,1,2023-05-05,https://www.goal.com/en/match/pyramids-vs-al-ahly/9ubsvhzaiiq6m7roltd18s5ck,[],{}
Premier League 2,England,Man Utd,2,Leicester,2,2023-05-05,https://www.goal.com/en/match/manchester-united-u21-vs-leicester-city-u21/5qazv55313cui4s3jax15yb6c,[],{}
Premier League 2,England,Fulham,3,Brighton,2,2023-05-05,https://www.goal.com/en/match/fulham-u21-vs-brighton-u21/5t170rs6gch6wn4ctr27mx4b8,[],{}
U18 Premier League,England,Southampton,5,Arsenal,1,2023-05-05,https://www.goal.com/en/match/southampton-u18-vs-arsenal-u18/akfis3bpp5l29ycmucgqyrpxw,"[['Southampton', 'Draw', 'Arsenal'], ['4', '3', '7']]","{'Ball possession': ['56.1%', '43.9%'], 'Total shots': ['21', '13'], 'Corners': ['4', '5'], 'Fouls': ['9', '14']}"
U18 Premier League,England,Derby,3,Middlesbrough,0,2023-05-05,https://www.goal.com/en/match/derby-county-u18-vs-middlesbrough-u18/7pmp6bfpgtkzemedd7pac953o,"[['Derby', 'Draw', 'Middlesbrough'], ['3', '5', '3']]","{'Ball possession': ['53.9%', '46.1%'], 'Total shots': ['14', '4'], 'Corners': ['9', '1'], 'Fouls': ['17', '16']}"
U18 Premier League,England,Leeds Utd,5,Stoke City,0,2023-05-05,https://www.goal.com/en/match/leeds-united-u18-vs-stoke-city-u18/7y0ddf7wm3h1i2ykolw08lrf8,"[['Leeds Utd', 'Draw', 'Stoke City'], ['3', '1', '3']]","{'Ball possession': ['58%', '42%'], 'Total shots': ['21', '8'], 'Corners': ['7', '3'], 'Fouls': ['11', '16']}"
Women's Super League,England,Arsenal,1,Leicester WFC,0,2023-05-05,https://www.goal.com/en/match/arsenal-vs-leicester-city-wfc/eg2vjc5vbudjndyitnscv75ec,"[['Arsenal', 'Draw', 'Leicester WFC'], ['135', '61', '34']]","{'Ball possession': ['54.4%', '45.6%'], 'Total shots': ['15', '7'], 'Corners': ['6', '3'], 'Fouls': ['6', '15']}"
Veikkausliiga,Finland,Haka,4,KTP,2,2023-05-05,https://www.goal.com/en/match/haka-vs-ktp/oahkvslr9wtaczwwu1g2dmok,"[['Haka', 'Draw', 'KTP'], ['78', '141', '58']]","{'Ball possession': ['40%', '60%'], 'Total shots': ['16', '13'], 'Corners': ['4', '5'], 'Fouls': ['11', '7']}"
Veikkausliiga,Finland,Honka,3,Lahti,0,2023-05-05,https://www.goal.com/en/match/honka-vs-lahti/odrgmtl6hdwadf9awj1jgums,"[['Honka', 'Draw', 'Lahti'], ['126', '164', '64']]","{'Ball possession': ['61.1%', '38.9%'], 'Total shots': ['24', '5'], 'Corners': ['3', '0'], 'Fouls': ['7', '9']}"
Veikkausliiga,Finland,Ilves,1,Oulu,2,2023-05-05,https://www.goal.com/en/match/ilves-vs-oulu/o16kukvq17bfkbnyd6xciwpg,"[['Ilves', 'Draw', 'Oulu'], ['103', '114', '36']]","{'Ball possession': ['48%', '52%'], 'Total shots': ['10', '13'], 'Corners': ['5', '3'], 'Fouls': ['17', '16']}"
Veikkausliiga,Finland,SJK,2,Inter Turku,1,2023-05-05,https://www.goal.com/en/match/sjk-vs-inter-turku/o7fj11h8feghrvdpoiuci3h0,"[['SJK', 'Draw', 'Inter Turku'], ['98', '142', '57']]","{'Ball possession': ['50.3%', '49.7%'], 'Total shots': ['23', '14'], 'Corners': ['10', '10'], 'Fouls': ['18', '15']}"
Veikkausliiga,Finland,VPS,2,Mariehamn,1,2023-05-05,https://www.goal.com/en/match/vps-vs-mariehamn/ogy0583fxc7ybttfhqwzlm38,"[['VPS', 'Draw', 'Mariehamn'], ['53', '105', '40']]","{'Ball possession': ['37.5%', '62.5%'], 'Total shots': ['16', '16'], 'Corners': ['5', '8'], 'Fouls': ['16', '11']}"
Veikkausliiga,Finland,KuPS,2,HJK,1,2023-05-05,https://www.goal.com/en/match/kups-vs-hjk/o48o7qqjzhf5t7ohhaiabcic,"[['KuPS', 'Draw', 'HJK'], ['60', '160', '142']]","{'Ball possession': ['44.6%', '55.4%'], 'Total shots': ['13', '8'], 'Corners': ['6', '4'], 'Fouls': ['12', '13']}"
3. Liga,Germany,Duisburg,3,Aue,0,2023-05-05,https://www.goal.com/en/match/msv-duisburg-vs-erzgebirge-aue/4iyutu44eghrzdwm00y89jh1w,[],{}
Regionalliga,Germany,Werder II,1,Hannover II,3,2023-05-05,https://www.goal.com/en/match/werder-bremen-ii-vs-hannover-96-ii/8xjvy0x4n4jxncm4hdsptn7dg,[],{}
Regionalliga,Germany,Pipinsried,0,Augsburg II,4,2023-05-05,https://www.goal.com/en/match/pipinsried-vs-augsburg-ii/8m6ease31miir2v7c0ax6edjo,[],{}
Regionalliga,Germany,Hankofen,0,Burghausen,1,2023-05-05,https://www.goal.com/en/match/hankofen-hailing-vs-wacker-burghausen/8lyofqxoxs95i6b07at9rroyc,[],{}
Regionalliga,Germany,Würzburg,2,Bayern II,2,2023-05-05,https://www.goal.com/en/match/wuerzburger-kickers-vs-bayern-muenchen-ii/8lunrr258pmfhndy06lubktn8,"[['Würzburg', 'Draw', 'Bayern II'], ['22', '11', '13']]","{'Ball possession': ['51.5%', '48.5%'], 'Total shots': ['13', '11'], 'Corners': ['7', '3'], 'Fouls': ['8', '8']}"
Regionalliga,Germany,Atlas,1,HSV II,1,2023-05-05,https://www.goal.com/en/match/atlas-delmenhorst-vs-hamburger-sv-ii/8xni7n3245m5icbe7iblphfkk,"[['Atlas', 'Draw', 'HSV II'], ['8', '11', '21']]","{'Corners': ['5', '5'], 'Fouls': ['9', '10']}"
Regionalliga,Germany,Babelsberg,2,Erfurt,0,2023-05-05,https://www.goal.com/en/match/babelsberg-vs-rot-weiss-erfurt/d8orskzaskeq7zmq4m56wi904,"[['Babelsberg', 'Draw', 'Erfurt'], ['8', '11', '7']]","{'Corners': ['3', '8'], 'Fouls': ['14', '10']}"
